iter	RMSE
923	9109.023449
924	9106.422549
925	9100.682474
926	9092.855665
927	9083.97895
928	9081.590011
929	9075.775139
930	9065.854806
931	9061.501419
932	9060.771689
933	9052.634338
934	9039.443937
935	9032.69526
936	9028.890625
937	9026.593282
938	9023.255226
939	9011.140054
940	9005.096982
941	8994.209817
942	8989.420496
943	8985.468763
944	8979.050429
945	8974.186448
946	8973.507122
947	8969.34588
948	8962.594406
949	8960.391783
950	8956.298946
951	8950.147172
952	8944.590178
953	8943.889921
954	8935.404591
955	8919.97035
956	8919.148592
957	8915.233933
958	8907.186532
959	8903.577625
960	8898.163745
961	8889.040347
962	8882.147894
963	8873.160354
964	8863.564283
965	8862.758881
966	8857.016955
967	8850.190026
968	8842.328937
969	8839.289309
970	8829.392889
971	8824.686138
972	8820.508299
973	8819.719005
974	8812.44876
975	8807.061944
976	8800.255835
977	8791.456753
978	8784.845612
979	8776.830475
980	8773.785569
981	8769.099589
982	8761.481266
983	8757.638679
984	8750.818472
985	8746.007208
986	8741.022611
987	8727.015485
988	8721.339184
989	8713.011797
990	8707.733648
991	8694.459199
992	8688.122468
993	8681.260448
994	8673.623225
995	8665.318113
996	8661.642114
997	8660.869347
998	8658.071786
999	8653.633425
